system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_71,4446.0,4588.0,4507.0,5043.5,5376.0,5642.5,5643.0,4961.0,2024-01,Location_72,"{""type"":""Point"",""coordinates"":[110.70665,-7.041975000000001]}"
0_72,6530.0,6094.5,5728.5,5992.5,6079.5,6150.5,6127.0,6379.5,2024-01,Location_73,"{""type"":""Point"",""coordinates"":[110.67861700000002,-7.119211000000001]}"
0_73,2394.5,2284.5,2063.5,2438.0,3973.0,5200.5,5420.0,5406.0,2024-01,Location_74,"{""type"":""Point"",""coordinates"":[110.78500000000001,-6.9897222]}"
0_74,2811.0,2730.5,2369.0,2785.0,3505.0,4041.5,4101.5,4020.5,2024-01,Location_75,"{""type"":""Point"",""coordinates"":[110.7755556,-7.021944400000001]}"
0_75,2584.5,2632.0,2462.0,2880.0,3633.5,4129.5,4236.0,3961.5,2024-01,Location_76,"{""type"":""Point"",""coordinates"":[110.77527800000001,-7.026944]}"
0_76,3632.5,3588.0,3221.0,3634.5,4175.0,4412.5,4344.5,4334.5,2024-01,Location_77,"{""type"":""Point"",""coordinates"":[110.7716667,-7.0463889]}"
0_77,5900.5,5424.0,4790.5,5144.5,5268.5,5447.5,5391.0,5559.0,2024-01,Location_78,"{""type"":""Point"",""coordinates"":[110.75194440000001,-7.0844444]}"
0_78,4811.5,4268.5,3711.5,4091.0,4315.0,4529.0,4510.5,4624.0,2024-01,Location_79,"{""type"":""Point"",""coordinates"":[110.7636111,-7.0783333]}"
0_79,4088.5,3806.5,3429.0,3870.5,4303.5,4619.5,4595.0,4560.5,2024-01,Location_80,"{""type"":""Point"",""coordinates"":[110.7725,-7.0719444000000005]}"
0_80,5112.0,4863.5,4414.5,4938.0,5272.5,5703.5,5674.5,5431.0,2024-01,Location_81,"{""type"":""Point"",""coordinates"":[110.78500000000001,-7.0702777999999995]}"
0_81,4496.5,4288.5,3981.5,4471.0,4762.0,4964.0,4902.0,4860.5,2024-01,Location_82,"{""type"":""Point"",""coordinates"":[110.7966667,-7.0591667]}"
0_82,4903.0,4523.0,4175.0,4696.5,4906.0,5074.0,5027.5,4948.5,2024-01,Location_83,"{""type"":""Point"",""coordinates"":[110.8047222,-7.053055600000001]}"
0_83,4916.5,4748.0,4472.5,4948.0,5145.0,5338.5,5229.5,5374.5,2024-01,Location_84,"{""type"":""Point"",""coordinates"":[110.81527780000002,-7.0452778]}"
0_84,4885.5,4692.0,4507.0,5069.5,5249.0,5383.5,5326.0,5509.5,2024-01,Location_85,"{""type"":""Point"",""coordinates"":[110.8236111,-7.0413889]}"
0_85,4941.5,4496.0,4098.0,4570.0,4998.5,5240.0,5152.5,5165.0,2024-01,Location_86,"{""type"":""Point"",""coordinates"":[110.8408333,-7.0305556]}"
0_86,4185.0,3900.5,3513.0,3960.5,4462.0,4913.0,4965.5,4858.0,2024-01,Location_87,"{""type"":""Point"",""coordinates"":[110.84666670000001,-7.026111099999999]}"
0_87,3260.5,3125.0,2905.5,3334.5,3882.5,4696.0,4636.0,4467.0,2024-01,Location_88,"{""type"":""Point"",""coordinates"":[110.85491270000001,-7.0230765]}"
0_88,3363.5,3282.5,3078.0,3576.5,3909.5,4167.5,4168.5,4079.5,2024-01,Location_89,"{""type"":""Point"",""coordinates"":[110.8647222,-7.017777799999999]}"
0_89,3562.0,3692.5,3542.5,3865.5,4624.5,5051.5,5095.0,5021.5,2024-01,Location_90,"{""type"":""Point"",""coordinates"":[110.776,-7.1212919999999995]}"
0_90,5172.5,4884.5,4808.5,5098.5,5463.5,5511.5,5405.0,5850.5,2024-01,Location_91,"{""type"":""Point"",""coordinates"":[110.794972,-7.103053]}"
0_91,5506.0,5404.0,5242.0,5435.0,5760.0,5909.5,5919.0,5911.5,2024-01,Location_92,"{""type"":""Point"",""coordinates"":[110.796819,-7.095069]}"
0_92,5759.5,5554.5,5174.5,5554.0,5841.0,5933.0,5815.0,5963.0,2024-01,Location_93,"{""type"":""Point"",""coordinates"":[110.80181400000001,-7.087908]}"
0_93,4382.0,3999.5,3525.0,3890.5,4428.5,4871.0,4897.5,4771.0,2024-01,Location_94,"{""type"":""Point"",""coordinates"":[110.80699700000001,-7.137343999999999]}"
0_94,3381.0,3028.0,3123.5,3792.0,4610.5,5200.0,5347.5,4582.5,2024-01,Location_95,"{""type"":""Point"",""coordinates"":[110.82136400000002,-7.115258]}"
0_95,5215.5,5165.0,5013.0,5465.5,5888.0,6196.5,6189.0,6143.5,2024-01,Location_96,"{""type"":""Point"",""coordinates"":[110.83,-7.102164]}"
0_96,5140.0,5066.5,4886.5,5304.0,5768.5,6120.5,6010.0,6126.0,2024-01,Location_97,"{""type"":""Point"",""coordinates"":[110.83471100000001,-7.095122]}"
0_97,2914.0,2798.5,2373.5,2668.5,3366.5,3970.5,4124.0,3740.0,2024-01,Location_98,"{""type"":""Point"",""coordinates"":[110.838578,-7.147671999999999]}"
0_98,3545.0,3279.5,2977.0,3466.5,4053.0,4558.5,4764.0,4409.0,2024-01,Location_99,"{""type"":""Point"",""coordinates"":[110.85736700000001,-7.129625000000001]}"
0_99,5092.5,5108.5,4766.5,5203.0,5363.5,5553.5,5487.5,5499.5,2024-01,Location_100,"{""type"":""Point"",""coordinates"":[110.88638890000001,-7.039444399999999]}"
0_100,5220.5,4865.0,4464.0,4945.0,5191.0,5403.0,5313.5,5312.5,2024-01,Location_101,"{""type"":""Point"",""coordinates"":[110.8742367,-7.043780400000001]}"
0_101,4271.5,4212.0,4103.0,4757.0,5086.0,5370.0,5316.5,5133.5,2024-01,Location_102,"{""type"":""Point"",""coordinates"":[110.86177550000001,-7.0543859]}"
0_102,4459.5,4373.0,4335.5,5003.0,5215.5,5380.0,5303.0,5241.5,2024-01,Location_103,"{""type"":""Point"",""coordinates"":[110.85444440000002,-7.0541667]}"
0_103,3215.0,2962.0,2740.5,3107.0,3739.0,4348.0,4576.0,4175.0,2024-01,Location_104,"{""type"":""Point"",""coordinates"":[110.87209400000002,-7.135724999999999]}"
0_104,4607.5,4573.0,4109.0,4408.5,4565.5,4800.5,4888.5,4774.5,2024-01,Location_105,"{""type"":""Point"",""coordinates"":[110.86428100000002,-7.144142]}"
0_105,3616.5,3512.0,3095.0,3603.5,4337.0,4854.5,4912.0,4646.0,2024-01,Location_106,"{""type"":""Point"",""coordinates"":[110.85891400000001,-7.150558000000001]}"
0_106,3812.0,3860.5,3494.5,3739.5,4407.0,5047.5,5042.5,5191.0,2024-01,Location_107,"{""type"":""Point"",""coordinates"":[110.85416400000001,-7.155283]}"
